bloomid:0, size:145
bloomid:1, size:94
bloomid:2, size:446
bloomid:3, size:126
bloomid:4, size:168
bloomid:5, size:129
bloomid:6, size:95
bloomid:7, size:386
bloomid:8, size:344
bloomid:9, size:126
bloomid:10, size:147
bloomid:11, size:158
bloomid:12, size:108
bloomid:13, size:744
bloomid:14, size:124
bloomid:15, size:121
bloomid:16, size:166
bloomid:17, size:128
bloomid:18, size:708
bloomid:19, size:129
bloomid:20, size:713
bloomid:21, size:93
bloomid:22, size:111
bloomid:23, size:85
bloomid:24, size:99
bloomid:25, size:72
bloomid:26, size:99
bloomid:27, size:89
bloomid:28, size:63
bloomid:29, size:78
bloomid:30, size:33
bloomid:31, size:76
bloomid:32, size:28
bloomid:33, size:67
bloomid:34, size:53
bloomid:35, size:71
bloomid:36, size:97
bloomid:37, size:149
bloomid:38, size:114
bloomid:39, size:668
bloomid:40, size:111
bloomid:41, size:694
bloomid:42, size:701
bloomid:43, size:77
bloomid:44, size:51
bloomid:45, size:51
bloomid:46, size:169
bloomid:47, size:142
bloomid:48, size:67
bloomid:49, size:90
bloomid:50, size:57
bloomid:51, size:60
bloomid:52, size:43
bloomid:53, size:146
bloomid:54, size:54
bloomid:55, size:67
bloomid:56, size:374
bloomid:57, size:372
bloomid:58, size:99
bloomid:59, size:254
bloomid:60, size:88
bloomid:61, size:89
bloomid:62, size:65
bloomid:63, size:40
bloomid:64, size:87
bloomid:65, size:145
bloomid:66, size:71
bloomid:67, size:67
bloomid:68, size:52
bloomid:69, size:55
bloomid:70, size:41
bloomid:71, size:50
bloomid:72, size:48
bloomid:73, size:154
bloomid:74, size:32
bloomid:75, size:47
bloomid:76, size:50
bloomid:77, size:62
bloomid:78, size:103
bloomid:79, size:71
bloomid:80, size:53
bloomid:81, size:61
bloomid:82, size:41
bloomid:83, size:64
bloomid:84, size:52
bloomid:85, size:38
bloomid:86, size:25
bloomid:87, size:58
bloomid:88, size:38
bloomid:89, size:37
bloomid:90, size:37
bloomid:91, size:616
bloomid:92, size:18
bloomid:93, size:14
bloomid:94, size:15
bloomid:95, size:17
bloomid:96, size:8
bloomid:97, size:7
bloomid:98, size:19
bloomid:99, size:9
bloomid:100, size:6
bloomid:101, size:8
