edgeID:0, size:2480 ,hostbloom:100
edgeID:1, size:2308 ,hostbloom:75
edgeID:2, size:1545 ,hostbloom:63
edgeID:3, size:2810 ,hostbloom:83
edgeID:4, size:2231 ,hostbloom:74
edgeID:5, size:1848 ,hostbloom:52
edgeID:6, size:2216 ,hostbloom:57
edgeID:7, size:1783 ,hostbloom:47
edgeID:8, size:1630 ,hostbloom:48
edgeID:9, size:1861 ,hostbloom:51
edgeID:10, size:2040 ,hostbloom:51
edgeID:11, size:1605 ,hostbloom:42
edgeID:12, size:1138 ,hostbloom:42
edgeID:13, size:1922 ,hostbloom:39
edgeID:14, size:1211 ,hostbloom:44
edgeID:15, size:1938 ,hostbloom:41
edgeID:16, size:856 ,hostbloom:39
edgeID:17, size:1811 ,hostbloom:21
edgeID:18, size:1971 ,hostbloom:39
edgeID:19, size:1727 ,hostbloom:38
edgeID:20, size:346 ,hostbloom:24
edgeID:21, size:351 ,hostbloom:29
edgeID:22, size:1691 ,hostbloom:37
edgeID:23, size:1464 ,hostbloom:36
edgeID:24, size:1500 ,hostbloom:35
edgeID:25, size:1029 ,hostbloom:35
edgeID:26, size:1580 ,hostbloom:30
edgeID:27, size:1674 ,hostbloom:35
edgeID:28, size:1676 ,hostbloom:35
edgeID:29, size:1614 ,hostbloom:34
edgeID:30, size:1642 ,hostbloom:34
edgeID:31, size:1661 ,hostbloom:34
edgeID:32, size:1661 ,hostbloom:34
edgeID:33, size:1651 ,hostbloom:34
edgeID:34, size:1008 ,hostbloom:31
edgeID:35, size:1640 ,hostbloom:33
edgeID:36, size:2094 ,hostbloom:32
edgeID:37, size:1574 ,hostbloom:32
edgeID:38, size:1639 ,hostbloom:31
edgeID:39, size:3397 ,hostbloom:29
edgeID:40, size:2006 ,hostbloom:27
edgeID:41, size:3108 ,hostbloom:29
edgeID:42, size:1517 ,hostbloom:29
edgeID:43, size:3394 ,hostbloom:28
edgeID:44, size:1379 ,hostbloom:28
edgeID:45, size:1487 ,hostbloom:28
edgeID:46, size:3641 ,hostbloom:27
edgeID:47, size:546 ,hostbloom:25
edgeID:48, size:1601 ,hostbloom:27
edgeID:49, size:1645 ,hostbloom:25
edgeID:50, size:3308 ,hostbloom:26
edgeID:51, size:2603 ,hostbloom:26
edgeID:52, size:3038 ,hostbloom:26
edgeID:53, size:708 ,hostbloom:25
edgeID:54, size:640 ,hostbloom:25
edgeID:55, size:281 ,hostbloom:13
edgeID:56, size:1385 ,hostbloom:22
edgeID:57, size:1534 ,hostbloom:24
edgeID:58, size:2832 ,hostbloom:22
edgeID:59, size:3286 ,hostbloom:23
edgeID:60, size:1047 ,hostbloom:23
edgeID:61, size:636 ,hostbloom:21
edgeID:62, size:978 ,hostbloom:15
edgeID:63, size:1677 ,hostbloom:23
edgeID:64, size:323 ,hostbloom:18
edgeID:65, size:3092 ,hostbloom:23
edgeID:66, size:813 ,hostbloom:21
edgeID:67, size:580 ,hostbloom:21
edgeID:68, size:1405 ,hostbloom:15
edgeID:69, size:591 ,hostbloom:22
edgeID:70, size:856 ,hostbloom:20
edgeID:71, size:147 ,hostbloom:20
edgeID:72, size:249 ,hostbloom:22
edgeID:73, size:754 ,hostbloom:22
edgeID:74, size:1001 ,hostbloom:20
edgeID:75, size:717 ,hostbloom:19
edgeID:76, size:1148 ,hostbloom:20
edgeID:77, size:2335 ,hostbloom:21
edgeID:78, size:2935 ,hostbloom:21
edgeID:79, size:1311 ,hostbloom:21
edgeID:80, size:1460 ,hostbloom:14
edgeID:81, size:2107 ,hostbloom:20
edgeID:82, size:532 ,hostbloom:17
edgeID:83, size:832 ,hostbloom:20
edgeID:84, size:2314 ,hostbloom:20
edgeID:85, size:2569 ,hostbloom:20
edgeID:86, size:2226 ,hostbloom:20
edgeID:87, size:2935 ,hostbloom:19
edgeID:88, size:1129 ,hostbloom:16
edgeID:89, size:271 ,hostbloom:19
edgeID:90, size:231 ,hostbloom:19
edgeID:91, size:2685 ,hostbloom:19
edgeID:92, size:2971 ,hostbloom:19
edgeID:93, size:871 ,hostbloom:18
edgeID:94, size:2264 ,hostbloom:19
edgeID:95, size:2712 ,hostbloom:19
edgeID:96, size:256 ,hostbloom:12
edgeID:97, size:1513 ,hostbloom:16
edgeID:98, size:938 ,hostbloom:19
edgeID:99, size:2365 ,hostbloom:18
edgeID:100, size:2277 ,hostbloom:18
edgeID:101, size:2004 ,hostbloom:18
edgeID:102, size:883 ,hostbloom:11
edgeID:103, size:688 ,hostbloom:17
edgeID:104, size:2573 ,hostbloom:18
edgeID:105, size:1175 ,hostbloom:18
edgeID:106, size:771 ,hostbloom:18
edgeID:107, size:504 ,hostbloom:12
edgeID:108, size:2365 ,hostbloom:17
edgeID:109, size:1203 ,hostbloom:16
edgeID:110, size:2523 ,hostbloom:17
edgeID:111, size:1789 ,hostbloom:17
edgeID:112, size:222 ,hostbloom:14
edgeID:113, size:2036 ,hostbloom:13
edgeID:114, size:1943 ,hostbloom:17
edgeID:115, size:2280 ,hostbloom:17
edgeID:116, size:1297 ,hostbloom:17
edgeID:117, size:1777 ,hostbloom:17
edgeID:118, size:694 ,hostbloom:16
edgeID:119, size:1098 ,hostbloom:16
edgeID:120, size:1890 ,hostbloom:16
edgeID:121, size:2641 ,hostbloom:16
edgeID:122, size:1812 ,hostbloom:16
edgeID:123, size:193 ,hostbloom:16
edgeID:124, size:2307 ,hostbloom:16
edgeID:125, size:1769 ,hostbloom:16
edgeID:126, size:3071 ,hostbloom:16
edgeID:127, size:2797 ,hostbloom:16
edgeID:128, size:623 ,hostbloom:14
edgeID:129, size:2170 ,hostbloom:16
edgeID:130, size:1965 ,hostbloom:16
edgeID:131, size:2200 ,hostbloom:16
edgeID:132, size:1139 ,hostbloom:16
edgeID:133, size:1213 ,hostbloom:16
edgeID:134, size:986 ,hostbloom:16
edgeID:135, size:1191 ,hostbloom:16
edgeID:136, size:1855 ,hostbloom:16
edgeID:137, size:3102 ,hostbloom:15
edgeID:138, size:1883 ,hostbloom:13
edgeID:139, size:1076 ,hostbloom:15
edgeID:140, size:1620 ,hostbloom:15
edgeID:141, size:622 ,hostbloom:14
edgeID:142, size:1498 ,hostbloom:15
edgeID:143, size:1158 ,hostbloom:15
edgeID:144, size:968 ,hostbloom:13
edgeID:145, size:1814 ,hostbloom:15
edgeID:146, size:1815 ,hostbloom:15
edgeID:147, size:1438 ,hostbloom:15
edgeID:148, size:1622 ,hostbloom:11
edgeID:149, size:1390 ,hostbloom:15
edgeID:150, size:1735 ,hostbloom:15
edgeID:151, size:1758 ,hostbloom:15
edgeID:152, size:765 ,hostbloom:15
edgeID:153, size:2356 ,hostbloom:15
edgeID:154, size:1444 ,hostbloom:13
edgeID:155, size:309 ,hostbloom:15
edgeID:156, size:1690 ,hostbloom:14
edgeID:157, size:1282 ,hostbloom:13
edgeID:158, size:1993 ,hostbloom:15
edgeID:159, size:76 ,hostbloom:12
edgeID:160, size:2499 ,hostbloom:14
edgeID:161, size:1994 ,hostbloom:14
edgeID:162, size:1391 ,hostbloom:14
edgeID:163, size:905 ,hostbloom:13
edgeID:164, size:1225 ,hostbloom:14
edgeID:165, size:2708 ,hostbloom:14
edgeID:166, size:1780 ,hostbloom:13
edgeID:167, size:1439 ,hostbloom:14
edgeID:168, size:1705 ,hostbloom:14
edgeID:169, size:671 ,hostbloom:9
edgeID:170, size:636 ,hostbloom:4
edgeID:171, size:678 ,hostbloom:10
edgeID:172, size:1357 ,hostbloom:14
edgeID:173, size:1226 ,hostbloom:13
edgeID:174, size:729 ,hostbloom:14
edgeID:175, size:1931 ,hostbloom:14
edgeID:176, size:345 ,hostbloom:14
edgeID:177, size:687 ,hostbloom:14
edgeID:178, size:1585 ,hostbloom:14
edgeID:179, size:708 ,hostbloom:13
edgeID:180, size:306 ,hostbloom:10
edgeID:181, size:2583 ,hostbloom:14
edgeID:182, size:1878 ,hostbloom:14
edgeID:183, size:1432 ,hostbloom:14
edgeID:184, size:1727 ,hostbloom:14
edgeID:185, size:2339 ,hostbloom:14
edgeID:186, size:1635 ,hostbloom:14
edgeID:187, size:2333 ,hostbloom:14
edgeID:188, size:1461 ,hostbloom:14
edgeID:189, size:685 ,hostbloom:13
edgeID:190, size:203 ,hostbloom:8
edgeID:191, size:670 ,hostbloom:12
edgeID:192, size:291 ,hostbloom:14
edgeID:193, size:1253 ,hostbloom:8
edgeID:194, size:1714 ,hostbloom:13
edgeID:195, size:1998 ,hostbloom:13
edgeID:196, size:1157 ,hostbloom:12
edgeID:197, size:1853 ,hostbloom:13
edgeID:198, size:1734 ,hostbloom:13
edgeID:199, size:2076 ,hostbloom:12
edgeID:200, size:1309 ,hostbloom:13
edgeID:201, size:1666 ,hostbloom:13
edgeID:202, size:728 ,hostbloom:13
edgeID:203, size:1320 ,hostbloom:12
edgeID:204, size:1037 ,hostbloom:11
edgeID:205, size:1789 ,hostbloom:12
edgeID:206, size:1258 ,hostbloom:13
edgeID:207, size:813 ,hostbloom:13
edgeID:208, size:1955 ,hostbloom:13
edgeID:209, size:2397 ,hostbloom:13
edgeID:210, size:1470 ,hostbloom:13
edgeID:211, size:1199 ,hostbloom:13
edgeID:212, size:1232 ,hostbloom:13
edgeID:213, size:1966 ,hostbloom:13
edgeID:214, size:904 ,hostbloom:12
edgeID:215, size:1245 ,hostbloom:13
edgeID:216, size:593 ,hostbloom:13
edgeID:217, size:728 ,hostbloom:13
edgeID:218, size:412 ,hostbloom:12
edgeID:219, size:1478 ,hostbloom:13
edgeID:220, size:428 ,hostbloom:11
edgeID:221, size:2618 ,hostbloom:13
edgeID:222, size:1563 ,hostbloom:12
edgeID:223, size:787 ,hostbloom:13
edgeID:224, size:1901 ,hostbloom:13
edgeID:225, size:1406 ,hostbloom:13
edgeID:226, size:1569 ,hostbloom:13
edgeID:227, size:996 ,hostbloom:13
edgeID:228, size:241 ,hostbloom:13
edgeID:229, size:1924 ,hostbloom:13
edgeID:230, size:671 ,hostbloom:13
edgeID:231, size:328 ,hostbloom:11
edgeID:232, size:1028 ,hostbloom:13
edgeID:233, size:1673 ,hostbloom:13
edgeID:234, size:2386 ,hostbloom:13
edgeID:235, size:1729 ,hostbloom:13
edgeID:236, size:1993 ,hostbloom:12
edgeID:237, size:2629 ,hostbloom:12
edgeID:238, size:1634 ,hostbloom:12
edgeID:239, size:1925 ,hostbloom:12
